"* Required Fields","* Campos obligatorios"
"Action","Acción"
"Account Dashboard","Mi cuenta"
"Account Information","Información de mi cuenta"
"Account information was successfully saved","Account information was successfully saved"
"Account Sharing Options","Account Sharing Options"
"Add New Address","Agregar nueva dirección"
"Add New Customer","Agregar nuevo cliente"
"Add New Customer Group","Add New Customer Group"
"Added From","Added From"
"Additional Address Entries","Additional Address Entries"
"Address","Dirección"
"Address Book","Libro de direcciones"
"Address Information","Address Information"
"Addresses","Direcciones"
"Admin","Admin"
"All Store Views","All Store Views"
"Always optional","Always optional"
"Amount","Cantidad"
"Approved","Aprobado"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Are you sure?","Estas seguro?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Assign a customer group"
"Average Sale","Venta promedio"
"Back","Atras"
"Back to Login","Volver a la pantalla de ingreso"
"Bad request.","Solicitud erronea."
"Bill to Name","Bill to Name"
"Delete","Borrar"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cancel","Cancelar"
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Change Account Password","Change Account Password"
"Change Billing Address","Change Billing Address"
"Change Password","Cambiar contraseña"
"Change Shipping Address","Change Shipping Address"
"City","Ciudad"
"Company","Companía"
"Config","Configuración"
"Confirm New Password","Confirmar nueva contraseña"
"Confirm Password","Confirmar contraseña"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmado"
"Contact Information","Contact Information"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create an Account","Crear cuenta"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Create New Account Options","Create New Account Options"
"Create New Customer Account","Create New Customer Account"
"Create Order","Create Order"
"CSV","CSV"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Addresses","Customer Addresses"
"Customer Api","Customer Api"
"Customer collection expected","Customer collection expected"
"Customer Configuration","Customer Configuration"
"Customer doesn't have primary billing address","Customer doesn't have primary billing address"
"Customer email already exists","Customer email already exists"
"Customer Group","Customer Group"
"Customer Group was successfully deleted","Customer Group was successfully deleted"
"Customer Group was successfully saved","Customer Group was successfully saved"
"Customer Groups","Customer Groups"
"Customer Information","Customer Information"
"Customer Login","Customer Login"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Customers"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"Date","Date"
"Date Added","Date Added"
"Date of Birth","Fecha de nacimiento"
"Date of Birth is required.","La fecha de nacimiento es obligatoria"
"Day","Día"
"Days in Wishlist","Días en mi lista de favoritos"
"DD","DD"
"Default Addresses","Direcciones por defecto"
"Default Billing Address","Dirección de facturación"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Dirección de envio"
"Default Welcome Email","Default Welcome Email"
"Delete Address","Delete Address"
"Delete Customer","Delete Customer"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Delete Customer Group","Delete Customer Group"
"Deleted Stores","Deleted Stores"
"Details","Detalles"
"Disabled","Desabilitado"
"Edit","Editar"
"Edit Account Info","Editar cuenta"
"Edit Account Information","Editar información de la cuenta"
"Edit Address","Editar dirección"
"Edit Address Entry","Edit Address Entry"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Edit Customer Groups"
"Edit Customer's Address","Edit Customer's Address"
"Edit Group","Edit Group"
"Edit Newsletter Subscription","Edit Newsletter Subscription"
"Edit Newsletters","Edit Newsletters"
"Edit Personal Information","Edit Personal Information"
"Email","Email"
"Email Address","Dirección de Email"
"Email Sender","Email Sender"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Ext. Price","Ext. Price"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Primer nombre"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Forgot Email Sender"
"Forgot Email Template","Forgot Email Template"
"Forgot Your Password?","Olvidaste tu contraseña?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde tu cuenta podes ver tus actividades recientes,ver tus compras y actualizar tus datos."
"General Subscription","General Subscription"
"Global","Global"
"Go to Address Book","Go to Address Book"
"Grand Total","Total"
"Grand Total: %s","Total: %s"
"Group","Groupo"
"Group ""%s"" can not be deleted","Group ""%s"" can not be deleted"
"Group Information","Group Information"
"Group Name","Group Name"
"Save","Guardar"
"Guest","Guest"
"Hola, %s!","Hello, %s!"
"HTML","HTML"
"ID","ID"
"If you have an account with us, please log in.","Si tenes una cuenta con nosotros, por favor ingresa"
"Billing Information","Información de Facturación"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid current password","Invalid current password"
"Invalid customer data","Invalid customer data"
"Invalid email address","Invalid email address"
"Invalid email address ""%s""","Dirección de email invalida ""%s"""
"Invalid login or password."Usuario o contraseña invalida."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"IP Address","IP Address"
"Items Order","Items Order"
"Last 5 Orders","Últimas 5 ordenes"
"Last Activity","Last Activity"
"Last date subscribed","Last date subscribed"
"Last date unsubscribed","Last date unsubscribed"
"Last Name","Apellido"
"Last name can't be empty","Last name can't be empty"
"Last Url","Last Url"
"Last Viewed Items","Last Viewed Items"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Lifetime Sales"
"Log In","Ingresá!"
"Log in or Create an Account","Ingresar o crear cuenta"
"Log Out","Desconectarme"
"Login","Ingresar"
"Login and password are required","Se requiren usuario y contraseña"
"Login Information","Datos de ingreso"
"Login or Create an Account","Ingresar o crear cuenta"
"M.I.","M.I."
"Manage Addresses","Manage Addresses"
"Manage Customers","Manage Customers"
"Missing email, skipping the record","Missing email, skipping the record"
"Missing firstname, skipping the record","Missing firstname, skipping the record"
"Missing lastname, skipping the record","Missing lastname, skipping the record"
"MM","MM"
"Month","Mes"
"My Account","Mi cuenta"
"My Account Dashboard","Mi cuenta"
"My Dashboard","Mi cuenta"
"My Orders","Mis pedidos"
"My Reviews","Mis reseñas"
"My Tags","Mis Tags"
