"""Remember Me"" Default Value","""Remember Me"" Default Value"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Campos Obligatorios"
"Address","Dirección"
"Address Information","Información de Dirección"
"Already registered?","Already registered?"
"Back","Atrás"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al registrarte en nuestra tienda, podrás realizar el proceso de pago más rápido, guardar múltiples direcciones de envío, ver y rastrear los pedidos en tu cuenta y más "
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"City","Ciudad"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Cerrar"
"Company","Companía"
"Confirm Password","Confirmar Contraseña"
"Continue","Continuar"
"Country","País"
"Create an Account","Registrarse"
"Easy access to your order history and status","Easy access to your order history and status"
"Email Address","Dirección de correo electrónico"
"Enable ""Remember Me""","Enable ""Remember Me"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Fast and easy check out"
"Fax","Celular"
"Forgot Your Password?","¿Olvidaste tu Contraseña?"
"Forgot your password?","¿Olvidaste tu contraseña?"
"General Options","Opciones Generales"
"If you have an account with us, please log in.","Si tenés una cuenta con nosotros, por favor iniciá tu sesión."
"Loading next step...","Loading next step..."
"Login","Login"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"New Customers","Nuevos Clientes"
"Password","Contraseña"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Información Personal"
"Please log in below:","Please log in below:"
"Please select region, state or province","Por favor seleccionar región, estado o provincia"
"Register","Registrarse"
"Register and save time!","Register and save time!"
"Register to Create an Account","Registrarse para Crear una Cuenta"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Clientes Registrados"
"Remember Me","Recordarme"
"Save in address book","Guardar en Libreta de Direcciones"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Seleccionar una dirección de facturación de la libreta de direcciones o ingresar una nueva."
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Sign Up for Newsletter","Sign Up for Newsletter"
"State/Province","State/Province"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submit","Enviar"
"Telephone","Teléfono"
"Welcome, %s!","¡Bienvenido, %s!"
"What\'s this?","¿Qu&eacute; es esto?"
"What's this?","¿Qu&eacute; es esto?"
"Zip/Postal Code","Zip/Postal Code"

"This is a required field.","Este es un campo obligatorio."
