" The customer doesn't exist in the system anymore"," El cliente ya no existe más en el sistema"
"""%s"" coupon code is not valid.","""%s"" no es un código válido de cupón."
"%s / %s rate:","%s / %s tasa:"
"%s for %s","%s para %s"
"%s order(s) successfully canceled","%s pedido(s) cancelado(s) satisfactoriamente"
"%s order(s) successfully put on hold","%s pedido(s) puesto(s) en espera satisfactoriamente"
"%s order(s) successfully released from holding status","%s pedido(s) liberado(s) del estatus de espera satisfactoriamente"

"%s order(s) cannot be canceled","No se pudo cancelar la cantidad de %s orden(es)"
"%s order(s) have been canceled.","Se realiz&oacute; la cancelaci&oacute;n de %s orden(es)."
"%s order(s) have been put on hold.","Se realiz&oacute; la puesta en espera de %s orden(es)."
"%s order(s) have been released from holding status.","Se ha liberado de su estado de espera una cantidad de %s orden(es)."
"%s order(s) were not put on hold.","No se puso en espera la cantidad de %s orden(es)."
"%s order(s) were not released from holding status.","No se ha liberado una cantidad de %s orden(es)."
"* - Enter custom price excluding tax","* - Introduzca precio personalizado excluyendo impuestos"
"* - Enter custom price including tax","* - Introduzca precio personalizado incluyendo impuestos"
"About This Order:","Acerca de ésta Pedido:"
"About Your Order","Acerca de su Pedido"
"Account Information","Información de Cuenta"
"Action","Acción"
"Actions","Acciones"
"Active","Activo"
"Add","Añadir"
"Add Gift Messsage","Añadir mensaje al regalo"
"Add New Address","Añadir Dirección Nueva"
"Add Order Comments","Añadir Comentarios a el pedido"
"Add Products","Añadir Productos"
"Add Selected Product(s) to Option","Añadir Producto(s) Seleccionado(s) a la Opción"
"Add Selected Product(s) to Order","Añadir Producto(s) Seleccionado(s) al Pedido"
"Add To Order","Añadir a el pedido"
"Add Tracking Number","Añadir Número de Guía"
"Add a gift message for <strong>each gift item</strong>","Añadir mensaje de regalo para <strong>cada artículo de regalo</strong>"
"Add a gift message for the <strong>entire order</strong>","Añadir un mensaje al regalo para <strong>todo</strong> el pedido"
"Add comment to order","Añadir comentario al pedido"
"Add new comment to shipment","Añadir comentario nuevo al envío"
