"%s","%s"
"-- Please Select --","-- Please Select --"
"Actions","Actions"
"Add Layout Update","Add Layout Update"
"Add New Widget Instance","Agregar nueva instancia de Widget"
"All","All"
"All Pages","All Pages"
"All Product Types","All Product Types"
"Anchor Categories","Anchor Categories"
"Assign to Store Views","Assign to Store Views"
"Big Image","Big Image"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","Categories"
"Choose...","Choose..."
"Close","Close"
"Continue","Continue"
"Default Template","Default Template"
"Delete","Delete"
"Design Package/Theme","Paquete de Dise&ntilde;o/Tema"
"Export to:","Exportar a:"
"Frontend Properties","Frontend Properties"
"Generic Pages","P&aacute;ginas Gen&eacute;ricas"
"Images","Im&aacute;genes"
"Insert Widget","Insertar Widget"
"Insert Widget...","Insertar Widget..."
"Insert Image...","Insertar Imagen..."
"Layout Updates","Layout Updates"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","Next page"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","No seleccionado"
"Page","P&aacute;gina"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","p&aacute;gina anterior"
"Products","Productos"
"Remove Layout Update","Remove Layout Update"
"Save and Continue Edit","Save and Continue Edit"
"Select All","Seleccionar todo"
"Select Visible","Seleccionar Visibles"
"Settings","Ajustes"
"Sort Order","Sort Order"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Specified Page"
"Template","Template"
"The information in this tab has been changed.","The information in this tab has been changed."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Thumbnail"
"Total %d records found","Total %d records found"
"Type","Tipo"
"Undefined Design Package or Theme.","Undefined Design Package or Theme."
"Unselect All","Unselect All"
"Unselect Visible","Unselect Visible"
"View","Vista"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Instance","Widget Instance"
"Widget Instance Title","T&iacute;tulo de instancia de Widget"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget Type is not specified"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","Widgets"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","items selected"
"of %s pages","of %s pages"
"per page","por p&aacute;gina"
