"My Wishlist","Mis favoritos"
"Your Wish List","Tus favoritos"
"My Wishlist (%d item)","Your Wish List (%d)"
"My Wishlist (%d items)","Your Wish List (%d)"
"Hello, %s","Hello, %s"
"Your Account","Tu cuenta"
"New customer?","New customer?"
"Start here","Start here"
"Your Orders","Your Orders"
"items","items"
"Cart","Cart"
"Edit your Cart","Modificar el carrito"
"Your Cart (%s)","Your Cart (%s)"
"Shop","Tienda"
"Back","Back"
"View All","Ver todo"
"Your shopping cart is currently empty.","Your shopping cart is currently empty."
"Filter","Filtrar"
"asc.","asc."
"desc.","desc."
"Back to Top","Back to Top"
"Subscribe to our Newsletter","Subscribe to our Newsletter"
"Enter your email","Enter your email"
"Product Description","Descripción del produto"
"Additional Info","Información adicional"
"Custom Info","Info adicional"
"Ratings & Reviews","Ratings y reseñas "
"Tags","Tags"
"Add your tags","Agregar tags"
"Already Registered?","Ya te registraste?"
"Sign in","Sign in"
"Hello. Sign in","Ingresá!"
"Show more details","Show more details"
"Show less details","Show less details"
"Chinese","Chinese"
"Dutch","Dutch"
"English","English"
"French","French"
"German","German"
"Italian","Italiano"
"Japanese","Japones"
"Norwegian","Noruego"
"Portuguese","Portugues"
"Russian","Ruso"
"Spanish","Español"
"Swedish","Sueco"
"Please enter your new password.","Please enter your new password."
"customer reviews","customer reviews"
"reviews","reviews"
"review","review"
"To buy, select <strong>%s</strong>","To buy, select <strong>%s</strong>"
"Choose from options to the left","Choose from options to the left"
"To buy, select quantities to the left","To buy, select quantities to the left"
" and "," y "
"Please check your spelling, try more general words or use synonyms.","Please check your spelling, try more general words or use synonyms."
"Top Destinations","Top Destinations"
"Account menu","Account menu"
"Male","Male"
"Female","Female"
"Select an Option","Select an Option"
"Accept","Accept"
"Product Detail","Product Detail"
"Ratings & Reviews for","Ratings & Reviews for"
"Quick View","Vista rápida"
"View Details","Ver detalles"
"View Cart","View Cart"
